author_id,tw_num,do_rt_num,get_rt_num
1016063701,1,0,0
1017662618,1,1,0
103105127,1,0,1
1077181999,1,0,0
108524355,1,0,1
1100079385,1,1,0
11325152,1,0,0
1137779952,1,1,0
1142312972,5,1,9
1178028691,1,1,0
1183512104,1,0,0
129314386,1,1,0
1370971824,1,1,0
1374607968,1,1,0
1398840546,1,1,0
1418050602,1,1,0
1442695026,1,0,0
1480212992,1,0,1
1493827735,1,0,0
1494034783,1,0,0
1565753588,1,1,0
1569194448,1,1,0
15738333,1,0,1
1575521048,1,1,0
161243650,1,0,0
1641619117,1,1,0
1648905578,1,1,0
1690876802,1,1,0
1696233198,1,1,0
1728451099,2,0,2
1731656120,1,1,0
175032813,1,1,0
180131554,1,1,0
18118505,3,0,4
1889899296,1,0,1
193357080,1,1,0
204176679,1,1,0
213555363,1,0,0
214544700,4,1,3
2173508552,1,1,0
2177097448,1,1,0
218078497,1,0,0
2181065932,1,1,0
2200055569,1,1,0
2207137254,1,0,2
22153676,1,0,1
2227319840,1,1,0
2228890529,1,1,0
2237851962,1,1,0
2243345659,1,1,0
224609329,1,0,1
2252893931,2,0,1
226224091,1,0,0
22703645,1,0,1
227778796,1,1,0
2290222724,2,1,1
2294131202,1,0,1
2296768525,1,1,0
23074563,1,0,1
232108392,1,0,1
2323137780,1,0,1
2337543318,1,1,0
2344991118,1,1,0
2360103751,1,1,0
2365720046,1,1,0
2365742752,1,1,0
2385672272,1,1,0
2386862304,1,0,0
2400684383,1,1,0
241659517,1,1,0
2428742198,1,1,0
243726128,2,0,1
2459717767,1,0,0
2481491973,1,0,1
248829087,4,0,5
2492460663,1,1,0
25073877,2,0,2
2510092890,1,0,1
2525078319,1,1,0
2532821389,1,0,0
2542939533,1,1,0
2565653759,1,1,0
2574890250,2,0,0
2596413645,7,1,18
2597206393,1,1,0
2605915581,1,1,0
2610615528,1,1,0
261749735,1,1,0
2653220806,1,1,0
26538229,1,0,1
2672595537,1,1,0
26900055,1,1,0
2695922588,1,0,1
2722337933,1,1,0
2751254297,1,0,0
2752052868,1,0,0
280921458,1,0,1
282055947,1,0,1
2844388905,1,0,0
285994737,1,0,1
286812557,1,1,0
2868857680,1,1,0
287843201,2,0,2
2879420413,1,1,0
2889867227,1,1,0
2892418731,1,1,0
2897665331,1,0,1
2898341650,1,1,0
291273472,1,0,0
2927236667,1,0,0
2941410280,1,1,0
2946167092,1,1,0
29547555,1,1,0
2959431927,1,1,0
2960532245,1,1,0
2962172531,1,1,0
2967680506,1,1,0
2983714610,1,1,0
3013136483,1,1,0
301754043,1,0,0
302111485,1,0,1
3072592149,1,1,0
3089497123,1,0,1
3089898207,1,1,0
3092806925,1,1,0
3110915034,1,0,0
311118058,2,0,3
31270875,1,0,1
3128894447,1,1,0
313246922,1,1,0
314024921,1,1,0
317284206,1,1,0
3197717401,1,1,0
3226948667,1,1,0
3244598766,1,1,0
326003773,2,0,13
327610738,1,0,1
3294058472,1,0,0
3298302672,1,0,1
3319254798,1,1,0
3323960308,1,1,0
3344944154,1,1,0
3379584303,1,1,0
339233372,1,0,0
339281879,1,1,0
3395666355,1,1,0
3438438843,1,0,1
3439451811,1,1,0
346612013,1,0,1
3575833755,1,1,0
360308302,1,1,0
364610603,1,1,0
365854454,2,0,0
3685392135,1,0,1
3687318741,1,1,0
3709329729,1,0,0
3762456856,1,1,0
384428299,1,1,0
397610007,1,1,0
4118915187,1,1,0
412463058,1,1,0
4126032687,1,1,0
416188366,1,1,0
420629175,1,0,2
426409144,1,1,0
4311982647,1,1,0
4341845536,1,0,0
438041673,1,0,0
440336544,1,0,1
455830743,3,0,2
4635369677,1,1,0
4764985268,13,1,12
478170193,1,0,1
4847820765,1,1,0
4852463193,1,1,0
4866566489,1,1,0
487834443,5,0,12
490794413,1,1,0
49384107,1,1,0
494829052,1,1,0
49946953,1,0,1
50258410,1,1,0
51712399,1,1,0
51712493,1,1,0
526110917,4,2,2
547524046,1,1,0
550116886,1,0,2
556246733,1,1,0
562879928,1,1,0
57039681,1,0,0
57734851,1,0,0
580829419,1,1,0
581307829,1,1,0
591505507,1,0,1
595205792,1,1,0
597769317,2,2,0
598468186,2,1,1
599782570,1,1,0
605731629,1,1,0
610341256,1,1,0
63110096,1,0,0
634806413,1,1,0
66732993,1,0,0
67813133,2,1,1
702303494053634049,1,0,1
704391334128394240,1,0,1
71026395,1,0,0
714280902,1,1,0
719153440107204608,1,0,1
723206253296640000,2,0,2
724984265994285056,2,2,0
725064846056640512,1,1,0
728316429121036290,1,0,0
738153522277945344,6,4,6
740683594633355265,1,0,1
745320470891880449,1,1,0
745980963411267587,1,1,0
751911896,1,1,0
753029601610330117,1,1,0
754020787141668864,1,1,0
754894004328787968,1,1,0
755180885411033088,1,1,0
755390902064078848,1,1,0
757637664,1,1,0
760544961246801921,1,1,0
761337419392290816,1,1,0
761666619617714176,1,1,0
761709748614037504,1,1,0
762410408867012608,1,1,0
767854763211886593,1,1,0
769134990701502464,1,1,0
771918082034065410,1,1,0
775432673439338497,1,1,0
775894632697892864,1,1,0
776180524754800641,1,1,0
780521650852884480,1,1,0
782992706616393729,1,0,0
783003310219464704,1,1,0
788083245158174720,1,1,0
798987580427505665,1,0,1
801534913254195200,1,0,1
806465743957225474,1,0,0
811487629732519936,1,1,0
812294692809408512,1,0,1
812656050960732161,1,0,1
813914393788481540,1,0,1
817214594024239104,1,1,0
817578873856659457,1,1,0
818376740053495808,1,1,0
819535337886191616,1,0,0
822423903112929280,1,1,0
823571457649184768,1,0,1
825016420803235841,1,1,0
825682538416971778,2,1,1
826104850194653186,1,1,0
828115979758661632,2,2,0
828288871075086336,1,1,0
828627471608184832,1,0,0
829206914496094209,1,1,0
829213809306918912,1,0,1
829476518,1,1,0
829611235,1,1,0
829833949711052805,1,1,0
830216254208278528,1,1,0
831869357240221697,1,1,0
832441166058500096,1,1,0
833070269119991812,1,1,0
833263613276200962,1,0,1
833492448240336896,1,0,0
837041296544002052,1,1,0
837856498835283970,1,1,0
840649543561682946,1,1,0
843124666931822592,1,0,1
847735496633536512,2,0,2
849368218326138880,1,1,0
849833645611372545,1,0,1
851212839691976704,1,1,0
852788402889961472,1,1,0
855412122469183488,1,1,0
857317944669466624,1,1,0
860893303360954368,1,1,0
863105632576180228,1,1,0
864394117,1,0,0
865653764870381568,1,1,0
867947619661881344,1,0,1
869193235918454786,15,0,45
870200407,2,2,0
871909680452444161,1,0,1
872403805148553216,1,0,1
874808244379766784,1,1,0
878352770985807873,1,1,0
885109490512801792,1,1,0
886837772123811840,1,1,0
894945255329497088,1,1,0
897619242,3,1,1
897768084714508289,1,0,1
898224650177662977,1,0,1
900259563907272704,1,1,0
90064632,1,1,0
903386195207626752,1,1,0
905403389466509313,1,1,0
908650936167526400,1,1,0
911604369551917061,1,1,0
913083595727683584,1,1,0
914008442364248065,1,1,0
915820505336356865,1,1,0
916205628363862016,1,0,1
919273451743076353,1,0,1
919622839556337664,5,3,0
924061988564684800,1,1,0
924171577,1,1,0
92460378,6,1,9
925605007482851328,1,0,0
926783183584145408,1,0,1
929420084682067969,1,1,0
931706188588339212,1,1,0
932250638439854080,1,1,0
932305909400907776,1,0,1
932891839312654336,1,1,0
933527721224916993,1,1,0
934091456981209088,1,0,1
937134500852645888,1,1,0
937391743678517249,1,1,0
940033190701367296,1,1,0
940163692854960128,1,1,0
941680316506411009,1,0,0
943924685259067392,1,1,0
944241782501597185,1,1,0
945534542424756226,1,1,0
946127206509527040,1,1,0
948731155033067521,1,1,0
950870829461594112,1,1,0
951192329070825473,1,0,0
954124423,8,0,25
954229325892608000,1,1,0
954662401412124677,1,1,0
955730343021219840,1,0,0
956610243940831233,1,1,0
956988729402560513,1,0,1
958807578133389318,1,0,1
959114422349369345,1,1,0
961669737125117952,1,1,0
962717507273490432,1,0,0
962800985180721152,1,0,1
963106200,1,0,1
963497411229442049,1,1,0
963508481780322304,1,0,0
965277900550410240,1,0,0
968014402552238080,1,1,0
970812182,1,1,0
971604575701565441,1,1,0
972018874014224384,1,0,1
975074658331627522,1,0,0
978145274,1,1,0
978254138470535168,1,1,0
978655495580999682,1,1,0
97885429,1,1,0
979785891060305920,1,1,0
980116740972695552,1,0,1
980747573077135360,1,1,0
981292975,1,1,0
981737728273534976,1,1,0
982669803444940800,1,1,0
982701088372592642,1,1,0
983491215860494336,1,1,0
985274562744119298,1,1,0
986830047599144960,1,1,0
987394916719431680,1,1,0
987748224437030917,1,1,0
987752531009916929,1,1,0
98996662,2,0,1
990276638997991424,1,1,0
991369146976931840,1,0,0
997894658,1,1,0
